NAMESPACE                   NAME                                                                  READY   STATUS                        RESTARTS          AGE
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-jp4s2                         0/1     Error                         2 (8d ago)        8d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-kd57v                         0/1     ContainerStatusUnknown        0                 9d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-l5vmb                         0/1     ContainerStatusUnknown        1                 12d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-n9n7c                         0/1     Completed                     0                 8d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-qw5l9                         0/1     Init:ContainerStatusUnknown   0                 12d
kubernetes-dashboard        pod/kubernetes-dashboard-metrics-scraper-55d9c65bcd-2bqtt             1/1     Running                       2 (46h ago)       8d
kubernetes-dashboard        pod/kubernetes-dashboard-web-7d777c9ccc-f8rxk                         1/1     Running                       2 (46h ago)       8d
kyverno                     pod/kyverno-admission-controller-574859b7cb-c4mwl                     1/1     Running                       50 (12m ago)      34h
kyverno                     pod/kyverno-background-controller-c8f6fdb97-x8fmt                     1/1     Running                       59 (13m ago)      34h
kyverno                     pod/kyverno-cleanup-controller-6c8fcb8df6-vjgq9                       1/1     Running                       60 (13m ago)      34h
kyverno                     pod/kyverno-reports-controller-74474cd674-vbglx                       1/1     Running                       62 (13m ago)      34h
media                       pod/booklore-mariadb-5cc7c754f9-2sf96                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-5qgc8                                 0/1     ContainerStatusUnknown        1                 14d
media                       pod/booklore-mariadb-5cc7c754f9-6xx4f                                 0/1     ContainerStatusUnknown        1                 9d
media                       pod/booklore-mariadb-5cc7c754f9-7cj2x                                 0/1     Error                         0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-7mzbb                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-7qfwk                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-87qkr                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-94wgt                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-96fqr                                 0/1     ContainerStatusUnknown        1                 9d
media                       pod/booklore-mariadb-5cc7c754f9-9bbd2                                 0/1     Error                         0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-9hrrx                                 0/1     ContainerStatusUnknown        1                 8d
media                       pod/booklore-mariadb-5cc7c754f9-9xw7k                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-b8mc7                                 0/1     ContainerStatusUnknown        0                 14d
media                       pod/booklore-mariadb-5cc7c754f9-bwzbt                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-c7j2h                                 0/1     ContainerStatusUnknown        0                 8d
media                       pod/booklore-mariadb-5cc7c754f9-cxxzp                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-dczbg                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-dfqcf                                 0/1     Error                         0                 8d
media                       pod/booklore-mariadb-5cc7c754f9-dpps4                                 0/1     ContainerStatusUnknown        0                 14d
media                       pod/booklore-mariadb-5cc7c754f9-frvhk                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-g6s7x                                 0/1     Error                         0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-gpknd                                 0/1     ContainerStatusUnknown        1                 9d
media                       pod/booklore-mariadb-5cc7c754f9-h2gfk                                 0/1     Error                         0                 8d
media                       pod/booklore-mariadb-5cc7c754f9-jmkpk                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-k45bp                                 0/1     Error                         0                 8d
media                       pod/booklore-mariadb-5cc7c754f9-kgnrr                                 0/1     ContainerStatusUnknown        0                 14d
media                       pod/booklore-mariadb-5cc7c754f9-kj724                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-kq4x7                                 0/1     Error                         0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-kv268                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-lstmn                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-m2ff7                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-m6f7s                                 0/1     Error                         0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-ml7wh                                 0/1     Error                         0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-n28n5                                 0/1     Error                         0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-ntgth                                 0/1     ContainerStatusUnknown        1                 8d
media                       pod/booklore-mariadb-5cc7c754f9-p4xdv                                 0/1     ContainerStatusUnknown        1                 9d
media                       pod/booklore-mariadb-5cc7c754f9-q5j8r                                 0/1     ContainerStatusUnknown        0                 9d
media                       pod/booklore-mariadb-5cc7c754f9-tt8tk                                 0/1     Error                         0                 9d
